[qwen] 1/18 arch-villa-dusk            ok 59.2s
[qwen] 2/18 arch-tower-lowangle        ok 58.0s
[qwen] 3/18 arch-detail-facade         ok 57.6s
[qwen] 4/18 interior-living-japandi    ok 57.6s
[qwen] 5/18 interior-cafe-counter      ok 57.2s
[qwen] 6/18 interior-bedroom-night     ok 56.8s
[qwen] 7/18 portrait-studio-rim        ok 56.4s
[qwen] 8/18 portrait-elderly-macro     ok 54.8s
[qwen] 9/18 portrait-group-five        ok 53.6s
[qwen] 10/18 portrait-fashion-fullbody  ok 52.4s
[qwen] 11/18 ui-mobile-home-zh          ok 52.8s
[qwen] 12/18 ui-login-en                ok 52.4s
[qwen] 13/18 ui-dashboard-dark          ok 52.8s
[qwen] 14/18 ui-appstore-three          ok 52.4s
[qwen] 15/18 product-skincare-white     ok 52.8s
[qwen] 16/18 product-watch-lifestyle    ok 52.8s
[qwen] 17/18 game-icon-fantasy          ok 52.8s
[qwen] 18/18 game-icon-line-set         ok 52.8s
done 18
