size,model,id,ok,seconds
1024,qwen,arch-villa-dusk,True,59.2
1024,qwen,arch-tower-lowangle,True,58.0
1024,qwen,arch-detail-facade,True,57.6
1024,qwen,interior-living-japandi,True,57.6
1024,qwen,interior-cafe-counter,True,57.2
1024,qwen,interior-bedroom-night,True,56.8
1024,qwen,portrait-studio-rim,True,56.4
1024,qwen,portrait-elderly-macro,True,54.8
1024,qwen,portrait-group-five,True,53.6
1024,qwen,portrait-fashion-fullbody,True,52.4
1024,qwen,ui-mobile-home-zh,True,52.8
1024,qwen,ui-login-en,True,52.4
1024,qwen,ui-dashboard-dark,True,52.8
1024,qwen,ui-appstore-three,True,52.4
1024,qwen,product-skincare-white,True,52.8
1024,qwen,product-watch-lifestyle,True,52.8
1024,qwen,game-icon-fantasy,True,52.8
1024,qwen,game-icon-line-set,True,52.8
1024,sense,arch-villa-dusk,True,10.1
1024,sense,arch-tower-lowangle,True,9.8
1024,sense,arch-detail-facade,True,9.9
1024,sense,interior-living-japandi,True,9.9
1024,sense,interior-cafe-counter,True,9.8
1024,sense,interior-bedroom-night,True,9.9
1024,sense,portrait-studio-rim,True,10.1
1024,sense,portrait-elderly-macro,True,9.8
1024,sense,portrait-group-five,True,9.8
1024,sense,portrait-fashion-fullbody,True,9.9
1024,sense,ui-mobile-home-zh,True,9.7
1024,sense,ui-login-en,True,9.7
1024,sense,ui-dashboard-dark,True,9.7
1024,sense,ui-appstore-three,True,9.8
1024,sense,product-skincare-white,True,9.8
1024,sense,product-watch-lifestyle,True,9.9
1024,sense,game-icon-fantasy,True,9.8
1024,sense,game-icon-line-set,True,9.8
1024,flux,arch-villa-dusk,True,3.03
1024,flux,arch-tower-lowangle,True,1.48
1024,flux,arch-detail-facade,True,1.56
1024,flux,interior-living-japandi,True,1.6
1024,flux,interior-cafe-counter,True,1.53
1024,flux,interior-bedroom-night,True,1.62
1024,flux,portrait-studio-rim,True,1.61
1024,flux,portrait-elderly-macro,True,1.51
1024,flux,portrait-group-five,True,1.48
1024,flux,portrait-fashion-fullbody,True,1.47
1024,flux,ui-mobile-home-zh,True,1.5
1024,flux,ui-login-en,True,1.4
1024,flux,ui-dashboard-dark,True,1.37
1024,flux,ui-appstore-three,True,1.5
1024,flux,product-skincare-white,True,1.51
1024,flux,product-watch-lifestyle,True,1.54
1024,flux,game-icon-fantasy,True,1.58
1024,flux,game-icon-line-set,True,1.46
2048,qwen,arch-villa-dusk,True,107.2
2048,qwen,arch-tower-lowangle,True,114.8
2048,qwen,arch-detail-facade,True,114.0
2048,qwen,interior-living-japandi,True,114.5
2048,qwen,interior-cafe-counter,True,111.7
2048,qwen,interior-bedroom-night,True,114.0
2048,qwen,portrait-studio-rim,True,114.0
2048,qwen,portrait-elderly-macro,True,114.1
2048,qwen,portrait-group-five,True,114.1
2048,qwen,portrait-fashion-fullbody,True,112.0
2048,qwen,ui-mobile-home-zh,True,112.9
2048,qwen,ui-login-en,True,111.3
2048,qwen,ui-dashboard-dark,True,112.9
2048,qwen,ui-appstore-three,True,112.0
2048,qwen,product-skincare-white,True,112.5
2048,qwen,product-watch-lifestyle,True,113.6
2048,qwen,game-icon-fantasy,True,113.2
2048,qwen,game-icon-line-set,True,112.8
2048,sense,arch-villa-dusk,True,13.4
2048,sense,arch-tower-lowangle,True,13.2
2048,sense,arch-detail-facade,True,13.2
2048,sense,interior-living-japandi,True,13.2
2048,sense,interior-cafe-counter,True,13.2
2048,sense,interior-bedroom-night,True,13.2
2048,sense,portrait-studio-rim,True,13.3
2048,sense,portrait-elderly-macro,True,12.8
2048,sense,portrait-group-five,True,14.2
2048,sense,portrait-fashion-fullbody,True,12.9
2048,sense,ui-mobile-home-zh,True,12.7
2048,sense,ui-login-en,True,12.9
2048,sense,ui-dashboard-dark,True,13.0
2048,sense,ui-appstore-three,True,13.0
2048,sense,product-skincare-white,True,13.4
2048,sense,product-watch-lifestyle,True,13.0
2048,sense,game-icon-fantasy,True,12.8
2048,sense,game-icon-line-set,True,13.6
1536,flux,arch-villa-dusk,True,5.2
1536,flux,arch-tower-lowangle,True,3.79
1536,flux,arch-detail-facade,True,3.7
1536,flux,interior-living-japandi,True,3.81
1536,flux,interior-cafe-counter,True,3.79
1536,flux,interior-bedroom-night,True,3.92
1536,flux,portrait-studio-rim,True,4.09
1536,flux,portrait-elderly-macro,True,3.83
1536,flux,portrait-group-five,True,3.78
1536,flux,portrait-fashion-fullbody,True,3.83
1536,flux,ui-mobile-home-zh,True,3.63
1536,flux,ui-login-en,True,3.4
1536,flux,ui-dashboard-dark,True,3.18
1536,flux,ui-appstore-three,True,3.2
1536,flux,product-skincare-white,True,3.72
1536,flux,product-watch-lifestyle,True,3.88
1536,flux,game-icon-fantasy,True,3.99
1536,flux,game-icon-line-set,True,3.5
