round,model,id,size,seconds
1k,sense,ltb-sign-short-en,1024,9.8
1k,sense,ltb-print-long-en,1024,9.7
1k,sense,ltb-poster-long-en,1024,9.7
1k,sense,ltb-sign-short-zh,1024,9.7
1k,qwen,ltb-sign-short-en,1024,47.7
1k,sense,ltb-slide-long-zh,1024,9.6
1k,sense,ltb-poster-long-zh,1024,9.7
1k,sense,geneval-counting-0,1024,9.9
1k,sense,geneval-counting-1,1024,9.9
1k,sense,geneval-colors-2,1024,9.8
1k,sense,geneval-position-3,1024,9.9
1k,qwen,ltb-print-long-en,1024,50.0
1k,sense,geneval-color_attr-4,1024,9.8
1k,sense,geneval-two_object-5,1024,9.9
1k,sense,geneval-single_object-6,1024,9.8
1k,sense,dpg-entity,1024,9.9
1k,sense,dpg-attribute,1024,9.8
1k,qwen,ltb-poster-long-en,1024,56.4
1k,sense,dpg-relation,1024,9.7
1k,sense,dpg-global,1024,9.7
1k,qwen,ltb-sign-short-zh,1024,53.2
1k,qwen,ltb-slide-long-zh,1024,51.6
1k,qwen,ltb-poster-long-zh,1024,52.0
1k,qwen,geneval-counting-0,1024,51.6
1k,qwen,geneval-counting-1,1024,51.7
1k,qwen,geneval-colors-2,1024,52.1
1k,qwen,geneval-position-3,1024,52.1
1k,qwen,geneval-color_attr-4,1024,53.4
1k,qwen,geneval-two_object-5,1024,50.8
1k,qwen,geneval-single_object-6,1024,52.0
1k,qwen,dpg-entity,1024,53.6
1k,qwen,dpg-attribute,1024,53.6
1k,qwen,dpg-relation,1024,53.2
1k,qwen,dpg-global,1024,53.2
1k,qwen,bonus-rgba,1024,53.2
1k,flux,ltb-sign-short-en,1024,2.96
1k,flux,ltb-print-long-en,1024,1.6
1k,flux,ltb-poster-long-en,1024,1.72
1k,flux,ltb-sign-short-zh,1024,1.56
1k,flux,ltb-slide-long-zh,1024,1.62
1k,flux,ltb-poster-long-zh,1024,1.59
1k,flux,geneval-counting-0,1024,1.68
1k,flux,geneval-counting-1,1024,1.57
1k,flux,geneval-colors-2,1024,1.56
1k,flux,geneval-position-3,1024,1.55
1k,flux,geneval-color_attr-4,1024,1.62
1k,flux,geneval-two_object-5,1024,1.35
1k,flux,geneval-single_object-6,1024,1.4
1k,flux,dpg-entity,1024,1.59
1k,flux,dpg-attribute,1024,1.63
1k,flux,dpg-relation,1024,1.45
1k,flux,dpg-global,1024,1.31
2k,qwen,geneval-single_object-6,2048,102.25
2k,sense,geneval-single_object-6,2048,13.2
2k,qwen,geneval-color_attr-4,2048,109.85
2k,sense,geneval-color_attr-4,2048,13.2
2k,qwen,dpg-global,2048,110.71
2k,sense,dpg-global,2048,13.0
2k,flux,geneval-color_attr-4,,5.18
2k,flux,geneval-single_object-6,,3.66
2k,flux,dpg-global,,3.27
